auc,bridge_core_adaptive_step_ratio,bridge_selection_ratio_full,candidate_generation_seconds,early_bridge_selection_ratio,graph_id,inter_community_edge_ratio,late_bridge_selection_ratio,mean_delta_gcc,mean_embeddedness,mean_k,mean_sample_sources,mean_source_boundary,mean_source_bridge_neighbor,mean_source_community,mean_source_community_boundary,mean_source_core2_boundary,mean_source_degree,mean_source_random_fill,method,middle_bridge_selection_ratio,model_scoring_seconds,normalized_auc,observed_remove_ratio,ratio_source_boundary,ratio_source_bridge_neighbor,ratio_source_community,ratio_source_community_boundary,ratio_source_core2_boundary,ratio_source_degree,ratio_source_random_fill,removed_edges,runtime_seconds,sampled_path_scoring_seconds,status,total_selection_seconds
0.17694162706574934,0.0,0.025,0.9107065000000012,0.025,football,1.0,,0.005144927536231884,0.03274801587301587,32.0,32.0,12.0,,1.2583333333333333,,,10.0,8.741666666666667,SASB-k32,,0.002839500000000772,0.9038768115942029,0.19575856443719414,0.375,,0.039322916666666666,,,0.3125,0.27317708333333335,120,4.5759305999999995,1.2130313000000035,finished,3.0763997999999964
0.15121639832612244,0.0,0.025,0.7817022999999983,0.025,football,0.9916666666666667,,0.0050724637681159425,0.031302910052910055,64.0,59.725,25.0,,0.225,,,19.0,15.5,SASB-k64,,0.005217300000008862,0.7724637681159421,0.19575856443719414,0.4185851820845542,,0.0037672666387609877,,,0.3181247383842612,0.2595228128924236,120,4.8929999,1.9829207999999996,finished,3.60798229999999
0.17694162706574934,0.0,0.025,0.9015226999999992,0.025,football,1.0,,0.005144927536231884,0.03274801587301587,32.0,32.0,12.0,,1.2583333333333333,,,10.0,8.741666666666667,Adaptive-SASB,,0.002778300000002787,0.9038768115942029,0.19575856443719414,0.375,,0.039322916666666666,,,0.3125,0.27317708333333335,120,4.575722599999999,1.1761458000000165,finished,3.057506700000003
0.03110481429279879,0.0,0.14166666666666666,0.9324853000000015,0.14166666666666666,bio_diseasome,0.9916666666666667,,0.00741279069767442,0.21396223009552534,32.0,32.0,12.0,,2.6,,,10.0,7.4,SASB-k32,,0.0025866999999877294,0.30793766149870805,0.10101010101010101,0.375,,0.08125,,,0.3125,0.23125,120,5.391655099999998,1.3192589000000048,finished,3.2229290999999964
0.02681694203012032,0.0,0.15,0.8661405999999516,0.15,bio_diseasome,0.9583333333333334,,0.007299741602067185,0.22065578422128765,64.0,64.0,25.0,,1.1333333333333333,,,19.0,18.866666666666667,SASB-k64,,0.005056000000031702,0.26548772609819116,0.10101010101010101,0.390625,,0.017708333333333333,,,0.296875,0.2947916666666667,120,6.054280200000001,2.345817300000011,finished,4.071932500000003
0.03110481429279879,0.0,0.14166666666666666,0.9336471000000408,0.14166666666666666,bio_diseasome,0.9916666666666667,,0.00741279069767442,0.21396223009552534,32.0,32.0,12.0,,2.6,,,10.0,7.4,Adaptive-SASB,,0.002549800000018365,0.30793766149870805,0.10101010101010101,0.375,,0.08125,,,0.3125,0.23125,120,5.437376799999999,1.3421308999999901,finished,3.2600887999999664
0.055865921787709494,0.0,0.0,4.650084700000043,0.0,bio_celegansneural,0.975,,0.0,0.16406996462491724,32.0,32.0,12.0,,0.21666666666666667,,,10.0,9.783333333333333,SASB-k32,,0.0028695000000169557,1.0,0.055865921787709494,0.375,,0.0067708333333333336,,,0.3125,0.30572916666666666,120,22.1270661,4.291151399999947,finished,12.659015899999979
0.055865921787709494,0.0,0.0,4.443729000000012,0.0,bio_celegansneural,0.975,,0.0,0.1653823476731496,64.0,64.0,25.0,,,,,19.0,20.0,SASB-k64,,0.005293099999938988,1.0,0.055865921787709494,0.390625,,,,,0.296875,0.3125,120,25.653553099999996,8.66695860000003,finished,16.761236300000007
0.055865921787709494,0.0,0.0,4.688115500000023,0.0,bio_celegansneural,0.975,,0.0,0.16406996462491724,32.0,32.0,12.0,,0.21666666666666667,,,10.0,9.783333333333333,Adaptive-SASB,,0.0028035000000272703,1.0,0.055865921787709494,0.375,,0.0067708333333333336,,,0.3125,0.30572916666666666,120,22.5554324,4.510530799999984,finished,12.959254899999976
0.04118050789293068,0.0,0.0,5.891310399999966,0.0,soc_wiki_vote,0.9416666666666667,,0.0,0.09387416562123327,32.0,32.0,12.0,,4.916666666666667,,,10.0,5.083333333333333,SASB-k32,,0.0025113000000658303,1.0,0.04118050789293068,0.375,,0.15364583333333334,,,0.3125,0.15885416666666666,120,37.714936399999985,8.893291699999992,finished,20.94780690000009
0.04110986641426171,0.0,0.008333333333333333,6.071986800000161,0.008333333333333333,soc_wiki_vote,0.95,,1.8747656542932496e-05,0.10629468558222002,64.0,64.0,25.0,,3.7416666666666667,,,19.0,16.258333333333333,SASB-k64,,0.004670200000049363,0.9982845894263219,0.04118050789293068,0.390625,,0.05846354166666667,,,0.296875,0.2540364583333333,120,47.698440999999974,17.679959999999966,finished,29.897644399999876
0.04118050789293068,0.0,0.0,5.9291401000000405,0.0,soc_wiki_vote,0.9416666666666667,,0.0,0.09387416562123327,32.0,32.0,12.0,,4.916666666666667,,,10.0,5.083333333333333,Adaptive-SASB,,0.0025328999998635027,1.0,0.04118050789293068,0.375,,0.15364583333333334,,,0.3125,0.15885416666666666,120,37.94730369999999,8.982191300000153,finished,21.061524100000128
0.013774992399971939,0.0,0.875,0.5527750000001106,0.875,ca_csphd,0.7833333333333333,,0.008170731707317075,0.00972222222222222,32.0,29.4,12.0,,0.5416666666666666,,,9.958333333333334,6.9,SASB-k32,,0.0023423999999181433,0.11972764227642277,0.11505273250239693,0.40816326530612246,,0.018424036281179137,,,0.338718820861678,0.23469387755102042,120,3.1025132999999983,0.8172446999998613,finished,1.7188414000000591
0.014073848888057433,0.0,0.875,0.5501178999999752,0.875,ca_csphd,0.7666666666666667,,0.008162601626016262,0.00972222222222222,64.0,42.725,24.55,,0.15833333333333333,,,11.116666666666667,6.9,SASB-k64,,0.00343660000021373,0.12232520325203251,0.11505273250239693,0.5746050321825629,,0.0037058708796567194,,,0.260191144919056,0.1614979520187244,120,3.8842047000000264,1.5127157000002285,finished,2.4289987999999028
0.01408600893295606,1.0,0.875,0.5659075999999743,0.875,ca_csphd,0.775,,0.008162601626016262,0.00972222222222222,64.0,42.84166666666667,,19.991666666666667,,15.825,1.6416666666666666,3.5166666666666666,1.8666666666666667,Adaptive-SASB,,0.003466000000088343,0.12243089430894309,0.11505273250239693,,0.46664073137521883,,0.3693833884458277,0.038319393114180124,0.08208519743240615,0.04357128963236724,120,4.175247200000001,1.5211868000000095,finished,2.754493400000058
0.051116960155114806,0.0,0.06666666666666667,1.1820818000001054,0.06666666666666667,bio_grid_mouse,1.0,,0.005815423514538557,0.0027777777777777775,32.0,32.0,12.0,,2.775,,,10.0,7.225,SASB-k32,,0.002587800000185325,0.4677201854193005,0.1092896174863388,0.375,,0.08671875,,,0.3125,0.22578125,120,8.89308299999999,2.765310600000049,finished,5.2760535000000175
0.06453061421870358,0.0,0.10833333333333334,1.4564188999997327,0.10833333333333334,bio_grid_mouse,0.95,,0.006194690265486725,0.0006944444444444444,64.0,64.0,25.0,,3.7416666666666667,,,19.0,16.258333333333333,SASB-k64,,0.004869700000199373,0.5904551201011378,0.1092896174863388,0.390625,,0.05846354166666667,,,0.296875,0.2540364583333333,120,14.410675999999995,6.794922700000399,finished,9.953412100000008
0.061581913097943856,1.0,0.09166666666666666,1.385358299999666,0.09166666666666666,bio_grid_mouse,0.9666666666666667,,0.006194690265486725,0.0,64.0,64.0,,20.0,,17.55,10.45,10.0,6.0,Adaptive-SASB,,0.005025900000305228,0.5634745048461863,0.1092896174863388,,0.3125,,0.27421875,0.16328125,0.15625,0.09375,120,15.504743799999972,6.516674799999862,finished,11.06679800000029
0.10855429087347347,0.0,0.05,2.213028300000019,0.05,rt_twitter_copen,0.9333333333333333,,0.0044568550153307055,0.026250259816436285,32.0,32.0,12.0,,5.816666666666666,,,10.0,4.183333333333334,SASB-k32,,0.0024695999997561557,0.930853044240035,0.11661807580174927,0.375,,0.18177083333333333,,,0.3125,0.13072916666666667,120,17.485201099999983,4.822353000000135,finished,9.418905500000221
0.1002638337106947,0.0,0.03333333333333333,2.034553799999742,0.03333333333333333,rt_twitter_copen,0.875,,0.004194042925974595,0.026545212684918572,64.0,64.0,25.0,,4.316666666666666,,,19.0,15.683333333333334,SASB-k64,,0.004694800000095256,0.8597623740692071,0.11661807580174927,0.390625,,0.06744791666666666,,,0.296875,0.24505208333333334,120,20.1788449,8.754758499999639,finished,12.976095099999952
0.10021211413042785,1.0,0.06666666666666667,2.047723699999949,0.06666666666666667,rt_twitter_copen,0.8833333333333333,,0.00624178712220762,0.021700673194481247,64.0,64.0,,20.0,,12.025,15.975,10.0,6.0,Adaptive-SASB,,0.0047171000001640095,0.8593188786684189,0.11661807580174927,,0.3125,,0.187890625,0.249609375,0.15625,0.09375,120,22.61011050000002,8.838053499999944,finished,15.17659440000017
0.011455281512014658,0.0,0.08333333333333333,13.784251600000175,0.08333333333333333,inf_power,0.75,,0.006908183228766106,0.0035185185185185185,32.0,32.0,12.0,,5.983333333333333,,,10.0,4.016666666666667,SASB-k32,,0.002590300000008483,0.6294677190852055,0.018198362147406732,0.375,,0.18697916666666667,,,0.3125,0.12552083333333333,120,115.4350743,25.149937799999805,finished,52.04806050000002
0.007198300577693334,0.0,0.08333333333333333,8.330325199999322,0.08333333333333333,inf_power,0.725,,0.006845780206435946,0.007152777777777777,64.0,64.0,25.0,,7.766666666666667,,,19.0,12.233333333333333,SASB-k64,,0.004729399999348516,0.39554661674424874,0.018198362147406732,0.390625,,0.12135416666666667,,,0.296875,0.19114583333333332,120,86.38310000000001,30.27664139999996,finished,46.76173579999977
0.009727416207640819,1.0,0.1,11.794260099999406,0.1,inf_power,0.825,,0.00690312352425285,0.004097222222222223,64.0,64.0,,20.0,,12.0,16.0,10.0,6.0,Adaptive-SASB,,0.004885500000341381,0.534521520609863,0.018198362147406732,,0.3125,,0.1875,0.25,0.15625,0.09375,120,131.4446782,42.474325299999805,finished,75.89323359999946
